,sub-003629_ses-003863_sub-003629_ses-003863_acq-fse_run-801_bp-prostate_vp-ax_T2w.nii.gz,sub-003629_ses-003863_sub-003629_ses-003863_acq-fse_run-601_bp-prostate_vp-ax_T2w.nii.gz,sub-003629_ses-003863_sub-003629_ses-003863_acq-fse_run-301_bp-prostate_vp-sag_T2w.nii.gz,sub-003629_ses-003863_sub-003629_ses-003863_acq-fse_run-501_bp-prostate_vp-cor_T2w.nii.gz,sub-005730_ses-006206_sub-005730_ses-006206_acq-propeller_run-7_bp-prostate_vp-cor_T2w.nii.gz,sub-005730_ses-006206_sub-005730_ses-006206_acq-fse_run-6_bp-prostate_vp-ax_T2w.nii.gz,sub-005730_ses-006206_sub-005730_ses-006206_acq-fse_run-9_bp-prostate_vp-ax_T2w.nii.gz,sub-005730_ses-006206_sub-005730_ses-006206_acq-fse_run-4_bp-prostate_vp-sag_T2w.nii.gz,sub-007667_ses-008463_sub-007667_ses-008463_acq-fse_run-1001_bp-prostate_vp-ax_T2w.nii.gz,sub-007667_ses-008463_sub-007667_ses-008463_acq-fse_run-501_bp-prostate_vp-sag_T2w.nii.gz
label1_diagnostics_Configuration_EnabledImageTypes,{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}}
label1_diagnostics_Configuration_Settings,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [0.5, 0.5, 3], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'weightingNorm': None, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [0.5, 0.5, 3], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'weightingNorm': None, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [0.5, 0.5, 3], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'weightingNorm': None, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [0.5, 0.5, 3], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'weightingNorm': None, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [0.5, 0.5, 3], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'weightingNorm': None, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [0.5, 0.5, 3], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'weightingNorm': None, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [0.5, 0.5, 3], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'weightingNorm': None, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [0.5, 0.5, 3], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'weightingNorm': None, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [0.5, 0.5, 3], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'weightingNorm': None, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [0.5, 0.5, 3], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'weightingNorm': None, 'correctMask': True}"
label1_diagnostics_Image-interpolated_Maximum,9.719888223951848,3.9559851504465655,3.809775952244248,4.594614872875006,4.774580490770141,3.5696552094655996,3.0984776186005485,4.982764907199872,5.449450833036077,4.957961819528826
label1_diagnostics_Image-interpolated_Mean,0.12296879732403895,0.0014479200204169263,-0.0010858661141711682,9.873525063544803e-05,-0.0017484111861924853,0.15685408781139018,0.14757762914017933,0.029885620998621677,0.500263743456973,-0.0013529080354956235
label1_diagnostics_Image-interpolated_Minimum,-1.6058819294884517,-1.6660996576292018,-1.4025287216429407,-1.6056281416994973,-1.8506748692031287,-1.4976641900689174,-1.601372097039552,-2.4325415693838677,-0.9696467345110759,-1.743305765537979
label1_diagnostics_Image-interpolated_Size,"(257, 304, 25)","(360, 360, 28)","(362, 362, 27)","(360, 360, 20)","(482, 482, 35)","(466, 434, 35)","(468, 442, 36)","(430, 441, 26)","(188, 325, 29)","(362, 362, 27)"
label1_diagnostics_Image-interpolated_Spacing,"(0.5, 0.5, 3.0)","(0.5, 0.5, 3.0)","(0.5, 0.5, 3.0)","(0.5, 0.5, 3.0)","(0.5, 0.5, 3.0)","(0.5, 0.5, 3.0)","(0.5, 0.5, 3.0)","(0.5, 0.5, 3.0)","(0.5, 0.5, 3.0)","(0.5, 0.5, 3.0)"
label1_diagnostics_Image-original_Dimensionality,3D,3D,3D,3D,3D,3D,3D,3D,3D,3D
label1_diagnostics_Image-original_Hash,f1b560a7882eaf5b686e398740c6a47e6e80927b,581be41ae57b3c32f7b2a597d82b39d0d58cfdaa,68326595590b27b1ea82d57fdd3de30ae518c427,6242d80821e38f8fcb16c146ef597c8b088c26b1,1ada8f8618ebc9ea0017d3d8534d0fb1de4bd469,146600e057ff30975d2c0a6dfeadc232c73d3496,2226c7e94f9a815426ea41ec1ce482c84ab2a973,7f82c0269300cfb5b1d522967c1e4cc09d853465,09e779114232058f9254654c1c1a61d8467a5499,a884981b0ecb85e1d6d75629b9fc9d92e3d2ce9c
label1_diagnostics_Image-original_Maximum,870.0,1132.0,1156.0,950.0,2177.0,1254.0,1613.0,2268.0,791.0,1130.0
label1_diagnostics_Image-original_Mean,66.5192858270202,305.0805525390625,306.58071912762523,203.55819793701173,464.6510070611912,342.989191309611,512.7716772397359,603.1545227050781,94.11850549768519,283.14060422550244
label1_diagnostics_Image-original_Minimum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
label1_diagnostics_Image-original_Size,"(480, 480, 22)","(640, 640, 25)","(642, 642, 27)","(640, 640, 24)","(514, 514, 26)","(512, 512, 30)","(1024, 1024, 30)","(512, 512, 25)","(480, 480, 30)","(642, 642, 27)"
label1_diagnostics_Image-original_Spacing,"(0.375, 0.375, 3.3000001907348633)","(0.28125, 0.28125, 3.3000001907348633)","(0.28125, 0.28125, 3.0)","(0.28125, 0.28125, 2.5)","(0.4687500298023224, 0.4687500298023224, 3.9999804496765137)","(0.4687999188899994, 0.468799889087677, 3.499998092651367)","(0.2343999594449997, 0.2343999445438385, 3.5000011920928955)","(0.42969998717308044, 0.4297001361846924, 3.0000030994415283)","(0.375, 0.375, 3.3999998569488525)","(0.28125, 0.28125, 3.0)"
